index,smiles,molar_mass,flash_point/K,Tm/K,Tb/K,Tc/K,Pc/bar,Vc/(cm3/mol),density/(g/cm3),delta_G/(KJ/mol),delta_Hf/(KJ/mol),delta_Hvap/(KJ/mol),delta_Hfus/(KJ/mol),molar_volume/(cm3/mol)(default298K),delta_Hc/(KJ/mol),mass_calorific_value_h/(MJ/kg),ISP,note
0,CCCCCCCC,114.2319999999999,284.668,171.63,408.771,569.178,26.0562,483.56,0.714,16.759,-208.016,42.469,16.894,0.16,5132.534,44.931,339.888,CCCCCCCC at 298K
1,CCCC(C)C,86.17799999999993,254.393,127.224,330.552,489.776,32.0073,364.38,0.679,-4.135,-174.634,30.401,7.993,0.127,3891.236,45.153,339.75,CCCC(C)C at 298K
2,CCC(C)(C)C,86.17799999999993,247.53,150.496,317.718,480.582,32.5192,357.89,0.679,-3.716,-180.827,28.088,4.886,0.127,3885.043,45.082,339.483,CCC(C)(C)C at 298K
3,C=CCCCC,84.16199999999994,261.479,137.698,342.112,508.755,32.9678,357.53,0.701,88.458,-42.052,31.344,7.861,0.12,3781.988,44.937,342.958,C=CCCCC at 298K
4,C/C=C/CCC,84.16199999999994,252.657,156.908,344.658,517.075,32.0435,355.68,0.696,79.482,-51.31,31.935,9.994,0.121,3772.73,44.827,342.538,C/C=C/CCC at 298K
5,C=C(C)CC,70.13499999999998,237.069,122.941,295.238,464.038,36.8274,294.76,0.681,66.491,-34.9,26.564,5.097,0.103,3151.8,44.939,342.966,C=C(C)CC at 298K
6,CC=C(C)C,70.13499999999998,239.192,146.125,307.438,473.527,36.1674,293.9,0.681,61.407,-43.024,26.784,6.817,0.103,3143.676,44.823,342.523,CC=C(C)C at 298K
7,CC(C)=C(C)C,84.16199999999994,245.458,168.46,343.596,527.595,30.3746,371.92,0.726,68.391,-68.65,32.524,6.491,0.116,3755.39,44.621,341.75,CC(C)=C(C)C at 298K
8,C=C=CC,54.09200000000001,184.881,145.081,276.314,454.35,42.8264,219.64,0.66,197.781,157.313,28.928,6.054,0.082,2464.843,45.568,352.119,C=C=CC at 298K
9,C=C=C(C)C,68.11899999999999,219.741,185.227,309.541,492.174,37.1416,291.08,0.668,197.117,120.066,25.09,8.225,0.102,3064.936,44.994,348.479,C=C=C(C)C at 298K
10,CC=C=CC,68.11899999999999,219.741,106.966,148.064,155.873,52.4859,142.66,0.674,-32.732,-93.126,25.09,1.208,0.101,2851.744,41.864,336.139,CC=C=CC at 298K
11,C#CCCC,68.11899999999999,266.105,181.472,318.012,487.158,42.2723,273.43,0.71,214.325,145.768,28.025,3.735,0.096,3090.638,45.371,349.935,C#CCCC at 298K
12,CCC#CCCCCCC,138.25400000000005,284.668,220.769,461.328,644.034,23.5711,560.24,0.79,233.547,22.279,53.84,22.571,0.175,6153.849,44.511,343.897,CCC#CCCCCCC at 298K
13,c1ccccc1,78.11399999999996,262.308,191.998,362.636,566.36,48.8857,286.13,0.93,128.046,79.927,35.018,7.365,0.084,3178.477,40.69,340.061,c1ccccc1 at 298K
14,c1ccc2ccccc2c1,128.17399999999995,353.145,296.035,510.61,738.167,39.3597,450.52,0.964,225.993,163.895,58.199,13.698,0.133,5086.315,39.683,339.025,c1ccc2ccccc2c1 at 298K
